CE,,,,,,Go to B2C Cart Page,,,,,Via buy page,13,14,1500.00%,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,,,,136
Assigned,Test Case,,,,,,,,,,57,Price,,Step >>,Step >>,Verify >>,Step >>,,Verify >>,Step >>,,,,,,,Step >>,,Special >>,Step >>,Verify >>,Verify >>,Mass premiums,,,,,Campaign,,,618,B2C,,Total,Verify >>,,Cart Page Result >>,,,Step >>,Step >>,Verify >>,Step >>,Verify >>,Verify >>,Verify >>,Checkout Page Result >> END OF TEST,,,,,,,,Automated Tests by UI Visions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated Test Result,Test duration (s),,Auto Cart,Last Updated,,,,,
Tester,ID,Auto Cart,Premiunm Qty,Manual Cart,Price Status,Model,FAMILY,Active,SKU,Link,SKU + Link,RRP,NRP,%,discount,Verify Price before Discount,Trade-up,Trade-up-discount,Verify trade-up discount,"Trade-in a smartphone 
(on cart page)",Trade-in-coupon,,,,,,Add Promo Code 1,Add Promo Code 2,Special discount after adding to cart,Add to Cart,Verify Product Price in Cart after Discount (Not total price in cart),Verify pre-order or back-order delivery date,Mass,Mass,Mass,Mass,Mass,Special July,Warrenty,"Trade-in
Sola,CTV25-QN-03,,,,inStock,"75"" Neo QLED 8K QN990 (2025)",,N,QA75QN990FJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn990f-75-inch-neo-qled-8k-mini-led-smart-tv-qa75qn990fjxzk/?R=20250630225213,QA75QN990FJXZK,"84,980","84,980",0.00%,0,"84,980",No,0,0,,,,,,,,,,,Add to Cart,"84,980.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-04,,,,inStock,"65"" Neo QLED 8K QN990 (2025)",,N,QA65QN990FJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn990f-65-inch-neo-qled-8k-mini-led-smart-tv-qa65qn990fjxzk/?R=20250630225213,QA65QN990FJXZK,"46,980","46,980",0.00%,0,"46,980",No,0,0,,,,,,,,,,,Add to Cart,"46,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-05,,,,inStock,"75"" Neo QLED 8K QN990 (2025)",,N,QA75QN900FJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn900f-75-inch-neo-qled-8k-mini-led-smart-tv-qa75qn900fjxzk/?R=20250630225213,QA75QN900FJXZK,"59,980","59,980",0.00%,0,"59,980",No,0,0,,,,,,,,,,,Add to Cart,"59,980.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-06,,,,inStock,"65"" Neo QLED 8K QN990 (2025)",,N,QA65QN900FJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn900f-65-inch-neo-qled-8k-mini-led-smart-tv-qa65qn900fjxzk/?R=20250630225213,QA65QN900FJXZK,"33,980","33,980",0.00%,0,"33,980",No,0,0,,,,,,,,,,,Add to Cart,"33,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-O-01,,,,inStock,"77"" OLED S95F (2025)",,N,QA77S95FAJXZK,https://www.samsung.com/hk/tvs/oled-tv/s95f-77-inch-oled-4k-smart-tv-qa77s95fajxzk/?R=20250630225213,QA77S95FAJXZK,"63,480","63,480",0.00%,0,"63,480",No,0,0,,,,,,,,,,,Add to Cart,"63,480.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-O-02,,,,inStock,"65"" OLED S95F (2025)",,N,QA65S95FAJXZK,https://www.samsung.com/hk/tvs/oled-tv/s95f-65-inch-oled-4k-smart-tv-qa65s95fajxzk/?R=20250630225213,QA65S95FAJXZK,"33,480","32,980",1.49%,500,"32,980",No,0,0,,,,,,,,,,,Add to Cart,"32,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-O-03,,,,inStock,"55"" OLED S95F (2025)",,N,QA55S95FAJXZK,https://www.samsung.com/hk/tvs/oled-tv/s95f-55-inch-oled-4k-smart-tv-qa55s95fajxzk/?R=20250630225213,QA55S95FAJXZK,"23,480","22,980",2.13%,500,"22,980",No,0,0,,,,,,,,,,,Add to Cart,"22,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-O-04,,,,inStock,"83"" OLED S90F (2025)",,N,QA83S90FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-83-inch-oled-4k-smart-tv-qa83s90faexzk/?R=20250630225213,QA83S90FAEXZK,"74,980","74,980",0.00%,0,"74,980",No,0,0,,,,,,,,,,,Add to Cart,"74,980.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-O-05,,,,inStock,"77"" OLED S90F (2025)",,N,QA77S90FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-77-inch-oled-4k-smart-tv-qa77s90faexzk/?R=20250630225213,QA77S90FAEXZK,"49,980","49,980",0.00%,0,"49,980",No,0,0,,,,,,,,,,,Add to Cart,"49,980.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-O-06,,,,inStock,"65"" OLED S90F (2025)",,N,QA65S90FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-65-inch-oled-4k-smart-tv-qa65s90faexzk/?R=20250630225213,QA65S90FAEXZK,"25,280","23,980",5.14%,"1,300","23,980",No,0,0,,,,,,,,,,,Add to Cart,"23,980.00",,Z-WMN-B05FB/XY,,,,,,,,,,Z-WMN-B05FB/XY,1,"
●  1 x  Full Motion Slim Fit Wall Mount WMN-B05FB (2023) [Z-WMN-B05FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-O-07,,,,inStock,"55"" OLED S90F (2025)",,N,QA55S90FAJXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-55-inch-oled-4k-smart-tv-qa55s90fajxzk/?R=20250630225213,QA55S90FAJXZK,"19,280","19,280",0.00%,0,"19,280",No,0,0,,,,,,,,,,,Add to Cart,"19,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-O-08,,,,inStock,"48"" OLED S90F (2025)",,N,QA48S90FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-48-inch-oled-4k-smart-tv-qa48s90faexzk/?R=20250630225213,QA48S90FAEXZK,"13,980","12,980",7.15%,"1,000","12,980",No,0,0,,,,,,,,,,,Add to Cart,"12,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-O-09,,,,inStock,"42"" OLED S90F (2025)",,N,QA42S90FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s90f-42-inch-oled-4k-smart-tv-qa42s90faexzk/?R=20250630225213,QA42S90FAEXZK,"11,380","9,980",12.30%,"1,400","9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-07,,,,inStock,"98"" Neo QLED 4K QN90F (2025)",,N,QA98QN90FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn90f-98-inch-neo-qled-4k-mini-led-smart-tv-qa98qn90fajxzk/?R=20250630225213,QA98QN90FAJXZK,"119,980","119,980",0.00%,0,"119,980",No,0,0,,,,,,,,,,,Add to Cart,"119,980.00",,Z-WMN8000SX/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN8000SX/XY,Z-HW-Q930D/ZK",2,"
●  1 x  TV Wall mount (WMN8000SX) [Z-WMN8000SX/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-08,,,,inStock,"65"" Neo QLED 4K QN90F (2025)",,N,QA65QN90FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn90f-65-inch-neo-qled-4k-mini-led-smart-tv-qa65qn90fajxzk/?R=20250630225213,QA65QN90FAJXZK,"24,280","22,980",5.35%,"1,300","22,980",No,0,0,,,,,,,,,,,Add to Cart,"22,980.00",,Z-WMN-B16FB/XY,,,,,,,,Z-HW-C450/ZK,,"Z-WMN-B16FB/XY,Z-HW-C450/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  C-Series HW-C450 2.1ch Soundbar [Z-HW-C450/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-09,,,,inStock,"55"" Neo QLED 4K QN90F (2025)",,N,QA55QN90FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn90f-55-inch-neo-qled-4k-mini-led-smart-tv-qa55qn90fajxzk/?R=20250630225213,QA55QN90FAJXZK,"18,280","18,280",0.00%,0,"18,280",No,0,0,,,,,,,,,,,Add to Cart,"18,280.00",,,,,,,,,,Z-HW-C450/ZK,,Z-HW-C450/ZK,1,"
●  1 x  C-Series HW-C450 2.1ch Soundbar [Z-HW-C450/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-10,,,,inStock,"50"" Neo QLED 4K QN90F (2025)",,N,QA50QN90FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn90f-50-inch-neo-qled-4k-mini-led-smart-tv-qa50qn90fajxzk/?R=20250630225213,QA50QN90FAJXZK,"13,280","12,480",6.02%,800,"12,480",No,0,0,,,,,,,,,,,Add to Cart,"12,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-11,,,,inStock,"43"" Neo QLED 4K QN90F (2025)",,N,QA43QN90FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn90f-43-inch-neo-qled-4k-mini-led-smart-tv-qa43qn90fajxzk/?R=20250630225213,QA43QN90FAJXZK,"10,780","10,780",0.00%,0,"10,780",No,0,0,,,,,,,,,,,Add to Cart,"10,780.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-12,,,,inStock,"83"" OLED S85F (2025)",,N,QA83S85FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s85f-83-inch-oled-4k-smart-tv-qa83s85faexzk/?R=20250630225213,QA83S85FAEXZK,"62,480","62,480",0.00%,0,"62,480",No,0,0,,,,,,,,,,,Add to Cart,"62,480.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-13,,,,inStock,"77"" OLED S85F (2025)",,N,QA77S85FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s85f-77-inch-oled-4k-smart-tv-qa77s85faexzk/?R=20250630225213,QA77S85FAEXZK,"42,480","42,480",0.00%,0,"42,480",No,0,0,,,,,,,,,,,Add to Cart,"42,480.00",,Z-WMN-B16FB/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B16FB/XY,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-14,,,,inStock,"65"" OLED S85F (2025)",,N,QA65S85FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s85f-65-inch-oled-4k-smart-tv-qa65s85faexzk/?R=20250630225213,QA65S85FAEXZK,"21,980","19,980",9.10%,"2,000","19,980",No,0,0,,,,,,,,,,,Add to Cart,"19,980.00",,Z-WMN-B05FB/XY,,,,,,,,,,Z-WMN-B05FB/XY,1,"
●  1 x  Full Motion Slim Fit Wall Mount WMN-B05FB (2023) [Z-WMN-B05FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-15,,,,inStock,"55"" OLED S85F (2025)",,N,QA55S85FAEXZK,https://www.samsung.com/hk/tvs/oled-tv/s85f-55-inch-oled-4k-smart-tv-qa55s85faexzk/?R=20250630225213,QA55S85FAEXZK,"15,980","15,980",0.00%,0,"15,980",No,0,0,,,,,,,,,,,Add to Cart,"15,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-16,,,,inStock,"65"" Neo QLED 4K QN85F (2025)",,N,QA65QN85FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q85f-65-inch-neo-qled-4k-mini-led-smart-tv-qa65qn85fajxzk/?R=20250630225213,QA65QN85FAJXZK,"16,480","16,480",0.00%,0,"16,480",No,0,0,,,,,,,,,,,Add to Cart,"16,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-17,,,,inStock,"55"" Neo QLED 4K QN85F (2025)",,N,QA55QN85FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q85f-55-inch-neo-qled-4k-mini-led-smart-tv-qa55qn85fajxzk/?R=20250630225213,QA55QN85FAJXZK,"11,980","11,980",0.00%,0,"11,980",No,0,0,,,,,,,,,,,Add to Cart,"11,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-18,,,,Unavailable,"65"" Neo QLED 4K QN84F (2025)",,UN,QA65QN84FAJXZK,https://www.samsung.com?R=20250630225213,QA65QN84FAJXZK,"15,480","15,480",0.00%,0,"15,480",No,0,0,,,,,,,,,,,Add to Cart,"15,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-19,,,,Unavailable,"55"" Neo QLED 4K QN84F (2025)",,UN,QA55QN84FAJXZK,https://www.samsung.com?R=20250630225213,QA55QN84FAJXZK,"10,980","10,980",0.00%,0,"10,980",No,0,0,,,,,,,,,,,Add to Cart,"10,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-20,,,,preOrder,"100"" Neo QLED 4K QN80F (2025)",,N,QA100QN80FJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn80f-100-inch-neo-qled-4k-mini-led-smart-tv-qa100qn80fjxzk/?R=20250630225213,QA100QN80FJXZK,"76,980","76,980",0.00%,0,"76,980",No,0,0,,,,,,,,,,,Add to Cart,"76,980.00",,Z-WMN8000SX/XY,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN8000SX/XY,Z-HW-Q930D/ZK",2,"
●  1 x  TV Wall mount (WMN8000SX) [Z-WMN8000SX/XY]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-21,,,,inStock,"50"" Neo QLED 4K QN80F (2025)",,N,QA50QN80FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn80f-50-inch-neo-qled-4k-mini-led-smart-tv-qa50qn80fajxzk/?R=20250630225213,QA50QN80FAJXZK,"9,680","9,680",0.00%,0,"9,680",No,0,0,,,,,,,,,,,Add to Cart,"9,680.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-22,,,,inStock,"85"" Neo QLED 4K QN70F (2025)",,N,QA85QN70FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn70f-85-inch-neo-qled-4k-mini-led-smart-tv-qa85qn70fajxzk/?R=20250630225213,QA85QN70FAJXZK,"43,980","43,980",0.00%,0,"43,980",No,0,0,,,,,,,,,,,Add to Cart,"43,980.00",,Z-WMN-B30FB/RU,Z-HW-Q930D/ZK,,,,,,,,,"Z-WMN-B30FB/RU,Z-HW-Q930D/ZK",2,"
●  1 x  Full Motion Slim Fit TV Wallmount with installation [Z-WMN-B30FB/RU]
●  1 x  Q-series Soundbar HW-Q930D [Z-HW-Q930D/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-23,,,,inStock,"75"" Neo QLED 4K QN70F (2025)",,N,QA75QN70FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn70f-75-inch-neo-qled-4k-mini-led-smart-tv-qa75qn70fajxzk/?R=20250630225213,QA75QN70FAJXZK,"24,980","24,980",0.00%,0,"24,980",No,0,0,,,,,,,,,,,Add to Cart,"24,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-24,,,,inStock,"65"" Neo QLED 4K QN70F (2025)",,N,QA65QN70FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn70f-65-inch-neo-qled-4k-mini-led-smart-tv-qa65qn70fajxzk/?R=20250630225213,QA65QN70FAJXZK,"14,480","14,480",0.00%,0,"14,480",No,0,0,,,,,,,,,,,Add to Cart,"14,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-25,,,,inStock,"55"" Neo QLED 4K QN70F (2025)",,N,QA55QN70FAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn70f-55-inch-neo-qled-4k-mini-led-smart-tv-qa55qn70fajxzk/?R=20250630225213,QA55QN70FAJXZK,"9,980","9,980",0.00%,0,"9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,CTV25-QN-26,,,,inStock,"55"" Neo QLED 4K QN1E (2025)",,N,QA55QN1EFAJXZK,https://www.samsung.com/hk/tvs/qled-tv/qn1ef-55-inch-neo-qled-4k-mini-led-smart-tv-qa55qn1efajxzk/?R=20250630225213,QA55QN1EFAJXZK,"9,980","9,980",0.00%,0,"9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,Z-HW-C450/ZK,,Z-HW-C450/ZK,1,"
●  1 x  C-Series HW-C450 2.1ch Soundbar [Z-HW-C450/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-27,,,,inStock,"65"" QLED Q8FA (2025)",,N,QA65Q8FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q8f-65-inch-qled-4k-smart-tv-qa65q8faajxzk/?R=20250630225213,QA65Q8FAAJXZK,"13,480","13,480",0.00%,0,"13,480",No,0,0,,,,,,,,,,,Add to Cart,"13,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-28,,,,inStock,"55"" QLED Q8FA (2025)",,N,QA55Q8FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q8f-55-inch-qled-4k-smart-tv-qa55q8faajxzk/?R=20250630225213,QA55Q8FAAJXZK,"8,480","8,480",0.00%,0,"8,480",No,0,0,,,,,,,,,,,Add to Cart,"8,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-29,,,,inStock,"50"" QLED Q8FA (2025)",,N,QA50Q8FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q8f-50-inch-qled-4k-smart-tv-qa50q8faajxzk/?R=20250630225213,QA50Q8FAAJXZK,"7,280","7,280",0.00%,0,"7,280",No,0,0,,,,,,,,,,,Add to Cart,"7,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
